UCREFRP_SpeciesCode,SPID,FSSTRCD,SPECIES,SCIFNMCD,SCIFNAM
NA,CT,CTSN,"CUTTHROAT, SNAKE RIVER",ONCCLASR,Oncorhynchus clarki Snake River
NA,CT,CTYL,"CUTTHROAT, YELLOWSTONE",ONCCLAYE,Oncorhynchus clarki Yellowstone
NA,CY,CY,"CRAYFISH, UNK SPECIES",NA,NA
NA,DC,DC,"DACE, UNKNOWN SPECIES",RHI,NA
LD,DC,DCLN,"DACE, LONGNOSE",RHICAT,Rhinichthys cataractae
SD,DC,DCSP,"DACE, SPECKLED",RHIOSC,Rhinichthys osculus
NA,GF,GF,GOLDFISH,CARAUR,Carassius auratus
NA,GR,GRAC,"GRAYLING, ARCTIC",THYARC,Thymallus arcticus
NA,GT,GT,GOLDEN TROUT,ONCAGU,Oncorhynchus aguabonita
PK,KI,KIPL,"KILLIFISH, PLAINS",FUNZEB,Fundulus zebrinus
NA,KI,KIRN,"KILLIFISH, RAINWATER",LUCPAR,Lucania parva
KO,KS,KS,"KOKANEE, UNK STRAIN",ONCNER,Oncorhynchus nerka
NA,KS,KSFG,"KOKANEE, FLAMING GORGE",ONCNERFG,Oncorhynchus nerka Flaming Gorge
NA,KS,KSGL,"KOKANEE, GRANBY LAKE",ONCNERGL,Oncorhynchus nerka Granby Lake
NA,KS,KSMX,"KOKANEE, MIXED",ONCNERMX,Oncorhynchus nerka
NA,KS,KSPJ,"KOKANEE, ROARING JUDY",ONCNERRJ,Oncorhynchus nerka Roaring Judy
NA,KS,KSPP,"KOKANEE, PORCUPINE",ONCNERPO,Oncorhynchus nerka Porcupine
NA,KS,KSSB,"KOKANEE, STRAWBERRY",ONCNERST,Oncorhynchus nerka Strawberry
NA,KS,KSSC,"KOKANEE, SHEEP CREEK",ONCNERSC,Oncorhynchus nerka Sheep Creek
LK,LK,LK,"LAKE TROUT, UNK STRAIN",SALNAM,Salvelinus namaycush
NA,LK,LKBL,"LAKE TROUT, BEAR LAKE",SALNAMBL,Salvelinus namaycush Bear Lake
